filename,description,category,finish,location,media_type
image1.jpg,Kitchen cabinets,South C,Nairobi,partitions,mill,image
image2.jpg,Kitchen cabinets,South C,Nairobi,partitions,mill,image
image3.jpg,Frameless doors,Karen Estate,doors,mill,image
image4.jpg,Gypsum wall and glass partitioning,Nairobi,partitions,mill,image
image5.jpg,Frameless shower cubicles,Nairobi,windows,mill,image
image6.jpg,Wood finish aluminium door and windows,Karen Estate,doors,bronze,image
image7.jpg,Aluminium glass and board office partitioning,Westlands,partitions,mill,image
image8.jpg,Double door swing door,Nairobi,doors,mill,image
image9.jpg,Aluminium shower cubicle with frost glass,Nairobi,windows,mill,image
image10.jpg,Gypsum walls and ceilings,Nairobi,partitions,mill,image
image11.jpg,Sliding doors Karen Estate,Karen Estate,doors,mill,image
image12.jpg,Frameless shower cubicles,Nairobi,windows,mill,image
image13.jpg,Shower cubicle design for small spaces,Nairobi,windows,bronze,image
image14.jpg,Sliding doors,Nairobi,doors,mill,image
image15.jpg,Aluminium windows and doors Diani,Kwale County,windows,mill,image
image16.jpg,Projected windows/topped hung windows,Nairobi,windows,mill,image
image17.jpg,Aluminium partitioning with louvres for ventilation,Nairobi,partitions,champagne,image
image18.jpg,Grey aluminium with tinted grey glass,Nairobi,windows,black,image
image19.jpg,Wood finish aluminium,Karen Estate,windows,bronze,image
image20.jpg,Kitchen cabinets South C,Nairobi,partitions,mill,image
image21.jpg,Closet cabinets,Nairobi,partitions,mill,image
image22.jpg,Gypsum partition with aluminium double door,Nairobi,partitions,mill,image
image23.jpg,Aluminium sliding windows Eastleigh,Eastleigh Estate,windows,mill,image
image24.jpg,Aluminium work Isiolo County,Isiolo County,partitions,mill,image
image25.jpg,Office partitioning,Westlands,partitions,mill,image
image26.jpg,Champagne finish,Nairobi,partitions,champagne,image
image27.jpg,Ojwang hardware Oyugis,Homa Bay County,partitions,silver,image
image28.jpg,Shop counter display,Kisumu,partitions,silver,image
image29.jpg,Shower cubicle,Nakuru,windows,mill,image
image30.jpg,Gold pearl restaurant,Oyugis,Homa Bay County,partitions,silver,image
image31.jpg,Shop display/reception counter tops,Nairobi,partitions,mill,image
image32.jpg,Gypsum wall,aluminium and glass partitioning with acoustic ceiling,Nairobi,partitions,champagne,image
image33.jpg,At GTC Westlands,Westlands,partitions,mill,image
image34.jpg,Aluminium work Migaa Golf Estate,Kiambu,partitions,bronze,image
image35.jpg,Louvre frames for ventilation Champagne colour,Nairobi,partitions,champagne,image
image36.jpg,Kitchen renovation project,Westlands,partitions,mill,image
image37.jpg,Contemporary office design,London,UK,partitions,mill,image
image38.jpg,Modern retail space,Mombasa,partitions,mill,image
image39.jpg,Premium residential fittings,Nairobi,partitions,bronze,image
image40.jpg,Commercial kitchen installation,Kenya,partitions,mill,image
image41.jpg,Hotel lobby design,Nairobi,partitions,champagne,image
image42.jpg,Contemporary bathroom design,Nairobi,windows,mill,image
image43.jpg,Modern apartment interiors,Nairobi,partitions,mill,image
image44.jpg,Retail shopfront renovation,Mombasa,partitions,silver,image
image45.jpg,Office fit-out project,Westlands,partitions,mill,image
image46.jpg,Custom aluminium furniture,Kenya,partitions,mill,image
image47.jpg,Residential aluminium windows,Nairobi,windows,mill,image
image48.jpg,Frameless glass doors,Kenya,doors,mill,image
image49.jpg,Partition wall system,Nairobi,partitions,mill,image
image50.jpg,Shop front refurbishment,Nairobi,partitions,mill,image
image51.jpg,Office reception area,Nairobi,partitions,mill,image
image52.jpg,Modern balcony railing,Kenya,balustrades,champagne,image
image53.jpg,Premium window installation,Nairobi,windows,mill,image
image54.jpg,Custom door solutions,Kenya,doors,bronze,image
image55.jpg,Aluminium facade work,Nairobi,windows,mill,image
image56.jpg,Comprehensive aluminium solutions,Nairobi,partitions,mill,image
video1.mp4,Bathroom renovation timelapse,Nairobi,windows,mill,video
video2.mp4,Kitchen cabinet installation,Nairobi,partitions,mill,video
video3.mp4,Office partition installation,Westlands,partitions,mill,video
video4.mp4,Window installation process,Nairobi,windows,mill,video
video5.mp4,Door fitting demonstration,Kenya,doors,mill,video
video6.mp4,Shop counter assembly,Mombasa,partitions,silver,video